title,author,source,description,content,pub_date,url,photo_url,combined_text,tokens,lems,keywords
"Bitcoin Hits Record, Dollar Slides Ahead of Trump’s Swearing In",Caitlin McCabe,The Wall Street Journal,"The new peak above $109,000 was reached Monday, and stock futures edged higher. Since Trump was elected, bitcoin has surged more than 50%.","Bitcoin set a new peak above $109,000 and the U.S. dollar fell Monday, ahead of Donald Trumps swearing in as the 47th president.
Stock futures rose, following gains for equity markets in Asia and Eu… [+3154 chars]",2025-01-20,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-01-20-2025-d809dbee,https://s.yimg.com/ny/api/res/1.2/dfwra7CyN_qJVCnDBHalMw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/the_wall_street_journal_hosted_996/ce1b3c7cd087166e522ef1e8c67ece37,bitcoin hits record dollar slides ahead of trump s swearing in bitcoin set a new peak above   and the u s dollar fell monday ahead of donald trumps swearing in as the th president stock futures rose following gains for equity markets in asia and eu  chars,"['bitcoin', 'hits', 'record', 'dollar', 'slides', 'ahead', 'trump', 'swearing', 'bitcoin', 'set', 'new', 'peak', 'dollar', 'fell', 'monday', 'ahead', 'donald', 'trumps', 'swearing', 'th', 'president', 'stock', 'futures', 'rose', 'following', 'gains', 'equity', 'markets', 'asia', 'eu', 'chars']",,[]
Mets Owner Steve Cohen Had an Even Better Year Off the Field,Peter Rudegeair,The Wall Street Journal,Hedge fund Point72 will return as much as $5 billion in profits to investors and raise fees.,"Steve Cohen and Mets starting pitcher Tylor Megill celebrated after a victory in September over the Braves in Atlanta. - Brett Davis/Reuters
Steve Cohens New York Mets lost to a playoff rival to end… [+3847 chars]",2025-01-12,https://www.wsj.com/finance/investing/mets-owner-steve-cohen-had-an-even-better-year-off-the-field-ae7e588d,https://s.yimg.com/ny/api/res/1.2/iY0Hl2xN3ROUNYYXEw4NRQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/the_wall_street_journal_hosted_996/b9bdd062f6cd60acd3a75fc92266b471,mets owner steve cohen had an even better year off the field steve cohen and mets starting pitcher tylor megill celebrated after a victory in september over the braves in atlanta brett davis reuters steve cohens new york mets lost to a playoff rival to end  chars,"['mets', 'owner', 'steve', 'cohen', 'even', 'better', 'year', 'field', 'steve', 'cohen', 'mets', 'starting', 'pitcher', 'tylor', 'megill', 'celebrated', 'victory', 'september', 'braves', 'atlanta', 'brett', 'davis', 'reuters', 'steve', 'cohens', 'new', 'york', 'mets', 'lost', 'playoff', 'rival', 'end', 'chars']",,[]
A TikTok Ban Is Imminent: What Are the Financial Stakes?,Sarah E. Needleman and Georgia Wells,The Wall Street Journal,The app’s demise threatens to remove billions of dollars from the content creators and small businesses that rely on it.,The disappearance of TikTok threatens to erase billions of dollars from the U.S. economy and remove an important platform used by millions of American businesses and social-media entrepreneurs to con… [+7284 chars],2025-01-18,https://www.wsj.com/tech/a-tiktok-ban-is-imminent-what-are-the-financial-stakes-ef245d19,https://s.yimg.com/ny/api/res/1.2/paZmlVKBAT.6_Uq1LonHMA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/the_wall_street_journal_hosted_996/c3aabf6443d7228b6800eabc1d6a3dd3,a tiktok ban is imminent what are the financial stakes the disappearance of tiktok threatens to erase billions of dollars from the u s economy and remove an important platform used by millions of american businesses and social media entrepreneurs to con  chars,"['tiktok', 'ban', 'imminent', 'financial', 'stakes', 'disappearance', 'tiktok', 'threatens', 'erase', 'billions', 'dollars', 'economy', 'remove', 'important', 'platform', 'used', 'millions', 'american', 'businesses', 'social', 'media', 'entrepreneurs', 'con', 'chars']",,[]
Australia’s Monthly Inflation Indicator Backs Case for Lower Rates,James Glynn,The Wall Street Journal,It stayed at the lower end of the Reserve Bank of Australia’s target band,"SYDNEYAustralias monthly inflation indicator edged higher in November, but stayed at the lower end of the Reserve Bank of Australias target band, keeping alive hopes that the central bank will start … [+329 chars]",2025-01-08,https://www.wsj.com/economy/australias-monthly-cpi-supports-case-for-lower-rates-c8175cdc,https://images.wsj.net/im-46029919/social,australia s monthly inflation indicator backs case for lower rates sydneyaustralias monthly inflation indicator edged higher in november but stayed at the lower end of the reserve bank of australias target band keeping alive hopes that the central bank will start  chars,"['australia', 'monthly', 'inflation', 'indicator', 'backs', 'case', 'lower', 'rates', 'sydneyaustralias', 'monthly', 'inflation', 'indicator', 'edged', 'higher', 'november', 'stayed', 'lower', 'end', 'reserve', 'bank', 'australias', 'target', 'band', 'keeping', 'alive', 'hopes', 'central', 'bank', 'start', 'chars']",,[]
She Made Orgasmic Meditation Her Life. Not Even Prison Will Stop Her...,www.wsj.com,The Wall Street Journal,"Nicole Daedone’s supporters call her a ‘visionary.’ Now facing a trial for allegedly exploiting employees, she is out to preserve her legacy. Will orgasmic meditation have a future?","For over a decade, Nicole Daedone presided over an unusual wellness empire that transformed sexual stimulation into a meditation practice meant to empower women. Through the 2010s, as the founder of … [+591 chars]",2025-01-25,https://www.wsj.com/style/nicole-daedone-one-taste-founder-prison-e1dc5eff,https://images.wsj.net/im-18303885/social,she made orgasmic meditation her life not even prison will stop her for over a decade nicole daedone presided over an unusual wellness empire that transformed sexual stimulation into a meditation practice meant to empower women through the s as the founder of  chars,"['made', 'orgasmic', 'meditation', 'life', 'even', 'prison', 'stop', 'decade', 'nicole', 'daedone', 'presided', 'unusual', 'wellness', 'empire', 'transformed', 'sexual', 'stimulation', 'meditation', 'practice', 'meant', 'empower', 'women', 'founder', 'chars']",,[]
Al Jazeera in Palestine: A timeline of coverage against all odds,Shola Lawal,Al Jazeera English,"The network has continued to report on the plight of Palestinians, despite intimidation.","Al Jazeera Media Network has strongly condemned the Palestinian Authority (PA) ban on its operations in the occupied West Bank this week, calling it an action that aligns with Israeli occupation prac… [+7480 chars]",2025-01-03,https://www.aljazeera.com/news/2025/1/3/a-history-of-al-jazeera-in-palestine,https://www.aljazeera.com/wp-content/uploads/2023/05/AP22187325578977-1683539330.jpg?resize=1920%2C1440,al jazeera in palestine a timeline of coverage against all odds al jazeera media network has strongly condemned the palestinian authority pa ban on its operations in the occupied west bank this week calling it an action that aligns with israeli occupation prac  chars,"['al', 'jazeera', 'palestine', 'timeline', 'coverage', 'odds', 'al', 'jazeera', 'media', 'network', 'strongly', 'condemned', 'palestinian', 'authority', 'pa', 'ban', 'operations', 'occupied', 'west', 'bank', 'week', 'calling', 'action', 'aligns', 'israeli', 'occupation', 'prac', 'chars']",,[]
The US soldiers returning to Vietnam in search of mass graves,Nick Hilden,Al Jazeera English,American veterans help Vietnamese veterans locate mass burial sites 50 years after the war.,"It is August 2022, and four Americans all men in their 70s disembark at a small airport outside Quy Nhon, a city of about half a million located on the south-central coast of Vietnam and the capital … [+19147 chars]",2025-01-04,https://www.aljazeera.com/features/2025/1/4/the-us-soldiers-returning-to-vietnam-in-search-of-mass-graves,https://www.aljazeera.com/wp-content/uploads/2024/12/Veterans-digging-1733584397.jpg?resize=1920%2C1080&quality=80,the us soldiers returning to vietnam in search of mass graves it is august  and four americans all men in their s disembark at a small airport outside quy nhon a city of about half a million located on the south central coast of vietnam and the capital  chars,"['us', 'soldiers', 'returning', 'vietnam', 'search', 'mass', 'graves', 'august', 'four', 'americans', 'men', 'disembark', 'small', 'airport', 'outside', 'quy', 'nhon', 'city', 'half', 'million', 'located', 'south', 'central', 'coast', 'vietnam', 'capital', 'chars']",,[]
India shrug off Bumrah injury to claim first-innings lead in Australia,Al Jazeera,Al Jazeera English,India captain Jasprit Bumrah is forced off with injury on Day Two of the fifth Test but Australia fail to capitalise.,India brushed off the absence of captain Jasprit Bumrah to dismiss Australia for 181 and reach 141 for six for an overall lead of 145 on an extraordinary second day of the finely balanced fifth Test.… [+3620 chars],2025-01-04,https://www.aljazeera.com/sports/2025/1/4/india-shrug-oof-bumrah-injury-to-claim-first-innings-lead-in-australia,https://www.aljazeera.com/wp-content/uploads/2025/01/GettyImages-2192318183-1735980223.jpg?resize=1920%2C1440,india shrug off bumrah injury to claim first innings lead in australia india brushed off the absence of captain jasprit bumrah to dismiss australia for  and reach  for six for an overall lead of  on an extraordinary second day of the finely balanced fifth test  chars,"['india', 'shrug', 'bumrah', 'injury', 'claim', 'first', 'innings', 'lead', 'australia', 'india', 'brushed', 'absence', 'captain', 'jasprit', 'bumrah', 'dismiss', 'australia', 'reach', 'six', 'overall', 'lead', 'extraordinary', 'second', 'day', 'finely', 'balanced', 'fifth', 'test', 'chars']",,[]
Fire at market in northern China kills at least eight people and injures 15,Al Jazeera,Al Jazeera English,"Authorities are investigating the cause of the blaze at a busy market in the city of Zhangjiakou, Hebei province.","A fire at a market in Chinas northern province of Hebei has killed at least eight people and wounded 15, according to state media.
The blaze at the Liguang market in Hebeis city of Zhangjiakou broke… [+882 chars]",2025-01-04,https://www.aljazeera.com/news/2025/1/4/fire-at-market-in-hebei-china-kills-and-wounds-several-people,https://www.aljazeera.com/wp-content/uploads/2025/01/AFP__20180311__12B6DG__v1__HighRes__ChinaPolitics-1735983252.jpg?resize=1920%2C1440,fire at market in northern china kills at least eight people and injures  a fire at a market in chinas northern province of hebei has killed at least eight people and wounded  according to state media the blaze at the liguang market in hebeis city of zhangjiakou broke  chars,"['fire', 'market', 'northern', 'china', 'kills', 'least', 'eight', 'people', 'injures', 'fire', 'market', 'chinas', 'northern', 'province', 'hebei', 'killed', 'least', 'eight', 'people', 'wounded', 'according', 'state', 'media', 'blaze', 'liguang', 'market', 'hebeis', 'city', 'zhangjiakou', 'broke', 'chars']",,[]
‘Treat us like humans’: Fishing wars trap Indians in Sri Lankan waters,Al Jazeera,Al Jazeera English,A record number of Indian fisherfolk were arrested by Sri Lanka in 2024 amid depleting catch in Indian waters.,"When Ashoka* heard boots approaching, he began to shiver in fear. The 23-year-old was in the engine room of his boat, as three Sri Lanka Navy (SLN) men boarded the vessel. When Ashoka, an Indian fish… [+8985 chars]",2025-01-01,https://www.aljazeera.com/features/2025/1/1/treat-us-like-humans-fishing-wars-trap-indians-in-sri-lankan-waters,https://www.aljazeera.com/wp-content/uploads/2025/01/2013-06-06T120000Z_17705598_GM1E96618PQ01_RTRMADP_3_INDIA-CENBANK-DEPUTY-1735715742.jpg?resize=1920%2C1440,treat us like humans fishing wars trap indians in sri lankan waters when ashoka heard boots approaching he began to shiver in fear the  year old was in the engine room of his boat as three sri lanka navy sln men boarded the vessel when ashoka an indian fish  chars,"['treat', 'us', 'like', 'humans', 'fishing', 'wars', 'trap', 'indians', 'sri', 'lankan', 'waters', 'ashoka', 'heard', 'boots', 'approaching', 'began', 'shiver', 'fear', 'year', 'old', 'engine', 'room', 'boat', 'three', 'sri', 'lanka', 'navy', 'sln', 'men', 'boarded', 'vessel', 'ashoka', 'indian', 'fish', 'chars']",,[]
